Response Id,Last Name,First Name,Contact Id,Link,Exceeded Contact Frequency,Link Expiration,Status,External Data Reference,Email,Unsubscribed
,,,CID_3plmXfz3FNPs9hH,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_mxV2OnI2B09yTHw_0MWzJswsNWsVOQu_CGC_SloEdafH4B9F5CD&_g_=g,false,2025-05-26T00:14:52.747Z,Email Not Sent,,4@gmail.com,false
,,,CID_3ReJLsylZ98WrOp,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_mxV2OnI2B09yTHw_0MWzJswsNWsVOQu_CGC_MuXoceSR3c6D5ib&_g_=g,false,2025-05-26T00:14:52.747Z,Email Not Sent,,1@gmail.com,false
,,,CID_1loAqJ97MByHHsw,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_mxV2OnI2B09yTHw_0MWzJswsNWsVOQu_CGC_Kb7CKPszm2rZFNo&_g_=g,false,2025-05-26T00:14:52.747Z,Email Not Sent,,10@gmail.com,false
,,,CID_pgGJkJxDFfRTueZ,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_mxV2OnI2B09yTHw_0MWzJswsNWsVOQu_CGC_CBrDrITR1dy0Omp&_g_=g,false,2025-05-26T00:14:52.747Z,Email Not Sent,,7@gmail.com,false
,,,CID_1jHwPhsrwVA16jj,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_mxV2OnI2B09yTHw_0MWzJswsNWsVOQu_CGC_FVVCHnbTjymVbEY&_g_=g,false,2025-05-26T00:14:52.747Z,Email Not Sent,,2@gmail.com,false
,,,CID_3CDdcxqhXf66o0X,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_mxV2OnI2B09yTHw_0MWzJswsNWsVOQu_CGC_UqbLeknR1QdPwO7&_g_=g,false,2025-05-26T00:14:52.747Z,Email Not Sent,,3@gmail.com,false
,,,CID_2f3dHS4CGj43HUr,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_mxV2OnI2B09yTHw_0MWzJswsNWsVOQu_CGC_oPVPSCLNozAxpQa&_g_=g,false,2025-05-26T00:14:52.747Z,Email Not Sent,,9@gmail.com,false
,,,CID_0AG2szdSBoI6OZP,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_mxV2OnI2B09yTHw_0MWzJswsNWsVOQu_CGC_bCRzmC8yu6wVEcG&_g_=g,false,2025-05-26T00:14:52.747Z,Email Not Sent,,8@gmail.com,false
,,,CID_31ZzBVuwR6XbDgO,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_mxV2OnI2B09yTHw_0MWzJswsNWsVOQu_CGC_wbvfFsiXxXRNcC2&_g_=g,false,2025-05-26T00:14:52.747Z,Email Not Sent,,5@gmail.com,false
,,,CID_1rNU1f39HWQUnpN,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_mxV2OnI2B09yTHw_0MWzJswsNWsVOQu_CGC_8lkuSr26hHo6GMd&_g_=g,false,2025-05-26T00:14:52.747Z,Email Not Sent,,6@gmail.com,false
