Response Id,Last Name,First Name,Contact Id,Link,Exceeded Contact Frequency,Link Expiration,Status,External Data Reference,Email,Unsubscribed
,,,CID_3F39aafp54NqPrA,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_15JhhZYWHFQDdaA_0MWzJswsNWsVOQu_CGC_dJbEvnJdYdQrHeH&_g_=g,false,2025-06-06T00:06:57.639Z,Email Not Sent,,8@gmail.com,false
,,,CID_2TYJlERXoz70A9f,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_15JhhZYWHFQDdaA_0MWzJswsNWsVOQu_CGC_MgSP9QHncWhHEtD&_g_=g,false,2025-06-06T00:06:57.639Z,Email Not Sent,,9@gmail.com,false
,,,CID_1pL368oFdq3Qz5M,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_15JhhZYWHFQDdaA_0MWzJswsNWsVOQu_CGC_QTn8YoZ0DcYH3w0&_g_=g,false,2025-06-06T00:06:57.639Z,Email Not Sent,,5@gmail.com,false
,,,CID_1MLi3xgjli6Eh19,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_15JhhZYWHFQDdaA_0MWzJswsNWsVOQu_CGC_ftypPJsUHpHk3t8&_g_=g,false,2025-06-06T00:06:57.639Z,Email Not Sent,,4@gmail.com,false
,,,CID_1FrWLSkM8C38m3Y,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_15JhhZYWHFQDdaA_0MWzJswsNWsVOQu_CGC_DqGebUMt0U76fpo&_g_=g,false,2025-06-06T00:06:57.639Z,Email Not Sent,,3@gmail.com,false
,,,CID_3lFARidddZJGDPy,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_15JhhZYWHFQDdaA_0MWzJswsNWsVOQu_CGC_O4vJjHaELQfR6B9&_g_=g,false,2025-06-06T00:06:57.639Z,Email Not Sent,,10@gmail.com,false
,,,CID_x3FwUEpaZXNOHDj,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_15JhhZYWHFQDdaA_0MWzJswsNWsVOQu_CGC_W7ukndxPDnNCmcC&_g_=g,false,2025-06-06T00:06:57.639Z,Email Not Sent,,7@gmail.com,false
,,,CID_sLJJAOuQWmOdFD3,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_15JhhZYWHFQDdaA_0MWzJswsNWsVOQu_CGC_Z41jpOKen1XIW9y&_g_=g,false,2025-06-06T00:06:57.639Z,Email Not Sent,,2@gmail.com,false
,,,CID_3imXnaKC7v2OrUi,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_15JhhZYWHFQDdaA_0MWzJswsNWsVOQu_CGC_rEEAUvwxkx4H6ef&_g_=g,false,2025-06-06T00:06:57.639Z,Email Not Sent,,1@gmail.com,false
,,,CID_2CVCQTBVB1BgArS,https://osu.az1.qualtrics.com/jfe/form/SV_0MWzJswsNWsVOQu?Q_CHL=gl&Q_DL=EMD_15JhhZYWHFQDdaA_0MWzJswsNWsVOQu_CGC_NcqrZwtqUK7GiMw&_g_=g,false,2025-06-06T00:06:57.639Z,Email Not Sent,,6@gmail.com,false
